name,time,mean_value
ping4,1505472000000000000,0.031498
ping4,1505472300000000000,0.031602
ping4,1505472600000000000,0.031593
ping4,1505472900000000000,0.031547
ping4,1505473200000000000,0.031546
ping4,1505473500000000000,0.031541
ping4,1505473800000000000,0.031505
ping4,1505474100000000000,0.031469
ping4,1505474400000000000,0.031543
ping4,1505474700000000000,0.031591
ping4,1505475000000000000,0.031482
ping4,1505475300000000000,0.031496
ping4,1505475600000000000,0.031494
ping4,1505475900000000000,0.031429
ping4,1505476200000000000,0.031477
ping4,1505476500000000000,0.031599
ping4,1505476800000000000,0.031551
ping4,1505477100000000000,0.03189
ping4,1505477400000000000,0.031873
ping4,1505477700000000000,0.031941
ping4,1505478000000000000,0.031892
ping4,1505478300000000000,0.03193
ping4,1505478600000000000,0.032032
ping4,1505478900000000000,0.031919
ping4,1505479200000000000,0.031873
ping4,1505479500000000000,0.032009
ping4,1505479800000000000,0.031684
ping4,1505480100000000000,0.031594
ping4,1505480400000000000,0.031624
ping4,1505480700000000000,0.031965
ping4,1505481000000000000,0.031908
ping4,1505481300000000000,0.03196
ping4,1505481600000000000,0.032082
ping4,1505481900000000000,0.031991
ping4,1505482200000000000,0.032572
ping4,1505482500000000000,0.032142
ping4,1505482800000000000,0.032085
ping4,1505483100000000000,0.032119
ping4,1505483400000000000,0.032088
ping4,1505483700000000000,0.031911
ping4,1505484000000000000,0.032089
ping4,1505484300000000000,0.032057
ping4,1505484600000000000,0.032097
ping4,1505484900000000000,0.032051
ping4,1505485200000000000,0.032062
ping4,1505485500000000000,0.032411
ping4,1505485800000000000,0.032026
ping4,1505486100000000000,0.032073
ping4,1505486400000000000,0.031962
ping4,1505486700000000000,0.032613
ping4,1505487000000000000,0.032267
ping4,1505487300000000000,0.03247
ping4,1505487600000000000,0.032248
ping4,1505487900000000000,0.032139
ping4,1505488200000000000,0.032346
ping4,1505488500000000000,0.032595
ping4,1505488800000000000,0.032365
ping4,1505489100000000000,0.033377
ping4,1505489400000000000,0.032282
ping4,1505489700000000000,0.032502
ping4,1505490000000000000,0.032349
ping4,1505490300000000000,0.032209
ping4,1505490600000000000,0.0323615
ping4,1505490900000000000,0.031993
ping4,1505491200000000000,0.033314
ping4,1505491500000000000,0.031943
ping4,1505491800000000000,0.03201
ping4,1505492100000000000,0.031719
ping4,1505492400000000000,0.031829
ping4,1505492700000000000,0.031748
ping4,1505493000000000000,0.031728
ping4,1505493300000000000,0.031982
ping4,1505493600000000000,0.032009
ping4,1505493900000000000,0.031883
ping4,1505494200000000000,0.031978
ping4,1505494500000000000,0.03195
ping4,1505494800000000000,0.03216
ping4,1505495100000000000,0.0322
ping4,1505495400000000000,0.031964
ping4,1505495700000000000,0.031585
ping4,1505496000000000000,0.031603
ping4,1505496300000000000,0.031415
ping4,1505496600000000000,0.031641
ping4,1505496900000000000,0.031506
ping4,1505497200000000000,0.031526
ping4,1505497500000000000,0.031506
ping4,1505497800000000000,0.031635
ping4,1505498100000000000,0.031987
ping4,1505498400000000000,0.031456
ping4,1505498700000000000,0.031348
ping4,1505499000000000000,0.031479
ping4,1505499300000000000,0.031477
ping4,1505499600000000000,0.031591
ping4,1505499900000000000,0.031982
ping4,1505500200000000000,0.031501
ping4,1505500500000000000,0.031374
ping4,1505500800000000000,0.031489
ping4,1505501100000000000,0.03145
ping4,1505501400000000000,0.031572
